subject	predicate	object	birthPlace	<predicate>	age	object
Rudolf_von_Tiefenbach 	award 	Knight_Of_The_Order_Of_The_Golden_Fleece_Q15117228	Graz 	<award >		Knight_Of_The_Order_Of_The_Golden_Fleece_Q15117228
Rudolf_von_Tiefenbach 	birthDate 	1582-11-26	Graz 	<age>	441	441
Rudolf_von_Tiefenbach 	gender 	Male	Graz 	<gender >		Male
Xu_Jingcheng 	birthDate 	1845-01-01	Jiaxing 	<age>	179	179
Xu_Jingcheng 	worksFor 	Peking_University 	Jiaxing 	<worksFor >		Peking_University 
Zavida 	birthDate 	1113-01-01	Principality_of_Zeta 	<age>	911	911
Zavida 	gender 	Male	Principality_of_Zeta 	<gender >		Male
Edward_Clinton_u002C__1st_Earl_of_Lincoln 	award 	Order_of_the_Garter	Scrivelsby 	<award >		Order_of_the_Garter
Edward_Clinton_u002C__1st_Earl_of_Lincoln 	birthDate 	1512-01-01	Scrivelsby 	<age>	512	512
Edward_Clinton_u002C__1st_Earl_of_Lincoln 	gender 	Male	Scrivelsby 	<gender >		Male
Egas_Moniz_o_Aio 	birthDate 	1080-01-01	County_of_Portugal 	<age>	944	944
Egas_Moniz_o_Aio 	gender 	Male	County_of_Portugal 	<gender >		Male
Egas_Moniz_o_Aio 	knowsLanguage 	Portuguese_language	County_of_Portugal 	<knowsLanguage >		Portuguese_lang
Francis_J_u002E__Harvey 	alumniOf 	University_of_Pennsylvania_School_of_Engineering_and_Applied_Science 	Latrobe_u002C__Pennsylvania 	<alumniOf >		University_of_Pennsylvania_School_of_Engineering_and_Applied_Science 
Francis_J_u002E__Harvey 	birthDate 	1943-07-08	Latrobe_u002C__Pennsylvania 	<age>	80	80
Francis_J_u002E__Harvey 	gender 	Male	Latrobe_u002C__Pennsylvania 	<gender >		Male
Francis_J_u002E__Harvey 	memberOf 	Republican_Party__u0028_United_States_u0029_ 	Latrobe_u002C__Pennsylvania 	<memberOf >		Republican_Party__u0028_United_States_u0029_ 
Francis_J_u002E__Harvey 	nationality 	United_States 	Latrobe_u002C__Pennsylvania 	<nationality >		United_States 
Elisabetha_Grossmann 	birthDate 	1795-12-14	Brienz 	<age>	228	228
Elisabetha_Grossmann 	gender 	Female	Brienz 	<gender >		Female
Elisabetha_Grossmann 	nationality 	Switzerland 	Brienz 	<nationality >		Switzerland 
Emperor_Xuanwu_of_Northern_Wei 	birthDate 	0483-01-01	Datong 	<age>	1541	1541
Emperor_Xuanwu_of_Northern_Wei 	gender 	Male	Datong 	<gender >		Male
Empress_Wang__u0028_Southern_Ming_u0029_ 	gender 	Female	Suzhou 	<gender >		Female
James_Watson_Webb_II 	alumniOf 	Yale_University 	Burlington_u002C__Vermont 	<alumniOf >		Yale_University 
James_Watson_Webb_II 	award 	Museum_of_Polo_and_Hall_of_Fame 	Burlington_u002C__Vermont 	<award >		Museum_of_Polo_and_Hall_of_Fame 
James_Watson_Webb_II 	birthDate 	1884-01-01	Burlington_u002C__Vermont 	<age>	140	140
James_Watson_Webb_II 	gender 	Male	Burlington_u002C__Vermont 	<gender >		Male
Alice_Spencer_u002C__Countess_of_Derby 	birthDate 	1559-05-14	Althorp 	<age>	464	464
Alice_Spencer_u002C__Countess_of_Derby 	gender 	Female	Althorp 	<gender >		Female
Sanatruq_II 	birthDate 	0150-01-01	Hatra 	<age>	1874	1874
Sanatruq_II 	gender 	Male	Hatra 	<gender >		Male
Erna_Kelm 	gender 	Female	Frankfurt__u0028_Oder_u0029_ 	<gender >		Female
Erna_Kelm 	knowsLanguage 	German_language	Frankfurt__u0028_Oder_u0029_ 	<knowsLanguage >		German_lang
Erna_Kelm 	nationality 	Germany 	Frankfurt__u0028_Oder_u0029_ 	<nationality >		Germany 
Frank_Roberts__u0028_diplomat_u0029_ 	award 	Knight_Grand_Cross_Of_The_Royal_Victorian_Order_Q12192290	Buenos_Aires 	<award >		Knight_Grand_Cross_Of_The_Royal_Victorian_Order_Q12192290
Frank_Roberts__u0028_diplomat_u0029_ 	award 	Companion_Of_The_Order_Of_St_Michael_And_St_George_Q12177413	Buenos_Aires 	<award >		Companion_Of_The_Order_Of_St_Michael_And_St_George_Q12177413
Frank_Roberts__u0028_diplomat_u0029_ 	award 	Knight_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177415	Buenos_Aires 	<award >		Knight_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177415
Frank_Roberts__u0028_diplomat_u0029_ 	birthDate 	1907-10-27	Buenos_Aires 	<age>	116	116
Frank_Roberts__u0028_diplomat_u0029_ 	gender 	Male	Buenos_Aires 	<gender >		Male
Frank_Roberts__u0028_diplomat_u0029_ 	knowsLanguage 	English_language	Buenos_Aires 	<knowsLanguage >		English_lang
Frank_Roberts__u0028_diplomat_u0029_ 	worksFor 	Foreign_u002C__Commonwealth_and_Development_Office 	Buenos_Aires 	<worksFor >		Foreign_u002C__Commonwealth_and_Development_Office 
Frederick_Charles_Augustus_u002C__Count_of_Lippe 	award 	Order_of_the_Red_Eagle 	Biesterfeld 	<award >		Order_of_the_Red_Eagle 
Frederick_Charles_Augustus_u002C__Count_of_Lippe 	birthDate 	1706-01-20	Biesterfeld 	<age>	318	318
Frederick_Charles_Augustus_u002C__Count_of_Lippe 	gender 	Male	Biesterfeld 	<gender >		Male
Clare_Ford 	award 	Knight_Grand_Cross_Of_The_Order_Of_St_Michael_And_St_George_Q12177423	London 	<award >		Knight_Grand_Cross_Of_The_Order_Of_St_Michael_And_St_George_Q12177423
Clare_Ford 	award 	Knight_Grand_Cross_Of_The_Order_Of_The_Bath_Q12177451	London 	<award >		Knight_Grand_Cross_Of_The_Order_Of_The_Bath_Q12177451
Clare_Ford 	birthDate 	1828-06-04	London 	<age>	195	195
Clare_Ford 	gender 	Male	London 	<gender >		Male
Clare_Ford 	knowsLanguage 	English_language	London 	<knowsLanguage >		English_lang
Jimmy_Kinnon 	birthDate 	1911-04-05	Paisley_u002C__Renfrewshire 	<age>	113	113
Jimmy_Kinnon 	gender 	Male	Paisley_u002C__Renfrewshire 	<gender >		Male
Jimmy_Kinnon 	nationality 	United_States 	Paisley_u002C__Renfrewshire 	<nationality >		United_States 
John_Le_Rougetel 	alumniOf 	Magdalene_College_u002C__Cambridge 	Liverpool 	<alumniOf >		Magdalene_College_u002C__Cambridge 
John_Le_Rougetel 	alumniOf 	Rossall_School 	Liverpool 	<alumniOf >		Rossall_School 
John_Le_Rougetel 	award 	Military_Cross 	Liverpool 	<award >		Military_Cross 
John_Le_Rougetel 	award 	Knight_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177415	Liverpool 	<award >		Knight_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177415
John_Le_Rougetel 	birthDate 	1894-06-19	Liverpool 	<age>	129	129
John_Le_Rougetel 	gender 	Male	Liverpool 	<gender >		Male
John_Le_Rougetel 	knowsLanguage 	English_language	Liverpool 	<knowsLanguage >		English_lang
May_El-Khalil 	birthDate 	1955-12-20	Aley 	<age>	68	68
May_El-Khalil 	gender 	Female	Aley 	<gender >		Female
Pyotr_Voykov 	alumniOf 	University_of_Geneva 	Kerch 	<alumniOf >		University_of_Geneva 
Pyotr_Voykov 	birthDate 	1888-08-13	Kerch 	<age>	135	135
Pyotr_Voykov 	gender 	Male	Kerch 	<gender >		Male
Pyotr_Voykov 	memberOf 	Communist_Party_of_the_Soviet_Union 	Kerch 	<memberOf >		Communist_Party_of_the_Soviet_Union 
Pyotr_Voykov 	memberOf 	Mensheviks 	Kerch 	<memberOf >		Mensheviks 
Rose_Selfridge 	birthDate 	1860-07-05	Chicago 	<age>	163	163
Rose_Selfridge 	gender 	Female	Chicago 	<gender >		Female
Rose_Selfridge 	knowsLanguage 	English_language	Chicago 	<knowsLanguage >		English_lang
Rose_Selfridge 	nationality 	United_States 	Chicago 	<nationality >		United_States 
Georg_Händel 	birthDate 	1622-09-24	Halle__u0028_Saale_u0029_ 	<age>	401	401
Georg_Händel 	gender 	Male	Halle__u0028_Saale_u0029_ 	<gender >		Male
George_Appo 	nationality 	United_States 	New_Haven_u002C__Connecticut 	<nationality >		United_States 
Carrie_Astor_Wilson 	birthDate 	1861-10-10	New_York_City 	<age>	162	162
Carrie_Astor_Wilson 	gender 	Female	New_York_City 	<gender >		Female
Carrie_Astor_Wilson 	nationality 	United_States 	New_York_City 	<nationality >		United_States 
David_M_u002E__Overton 	alumniOf 	Wayne_State_University 	Detroit 	<alumniOf >		Wayne_State_University 
David_M_u002E__Overton 	alumniOf 	University_of_California_College_of_the_Law_u002C__San_Francisco 	Detroit 	<alumniOf >		University_of_California_College_of_the_Law_u002C__San_Francisco 
David_M_u002E__Overton 	birthDate 	1946-01-01	Detroit 	<age>	78	78
David_M_u002E__Overton 	gender 	Male	Detroit 	<gender >		Male
Lady_Abahai 	birthDate 	1590-01-01	Jilin_City 	<age>	434	434
Lady_Abahai 	gender 	Female	Jilin_City 	<gender >		Female
Lady_Gan 	birthDate 	0150-01-01	Pei_County 	<age>	1874	1874
Lady_Gan 	gender 	Female	Pei_County 	<gender >		Female
Princess_Anle 	birthDate 	0684-01-01	Shiyan 	<age>	1340	1340
Princess_Anle 	gender 	Female	Shiyan 	<gender >		Female
Charles_Wallace_Adair 	birthDate 	1914-01-26	Xenia_u002C__Ohio 	<age>	110	110
Charles_Wallace_Adair 	gender 	Male	Xenia_u002C__Ohio 	<gender >		Male
Charles_Wallace_Adair 	nationality 	United_States 	Xenia_u002C__Ohio 	<nationality >		United_States 
Dugu_Qieluo 	birthDate 	0544-01-01	Hà_Nam_province 	<age>	1480	1480
Dugu_Qieluo 	gender 	Female	Hà_Nam_province 	<gender >		Female
Christopher_Pittman 	birthDate 	1989-04-09	Huntsville_u002C__Alabama 	<age>	35	35
Christopher_Pittman 	gender 	Male	Huntsville_u002C__Alabama 	<gender >		Male
Christopher_Pittman 	nationality 	United_States 	Huntsville_u002C__Alabama 	<nationality >		United_States 
Moses_Rose 	birthDate 	1785-01-01	La_Férée 	<age>	239	239
Moses_Rose 	gender 	Male	La_Férée 	<gender >		Male
Moses_Rose 	knowsLanguage 	French_language	La_Férée 	<knowsLanguage >		French_lang
Moses_Rose 	nationality 	France 	La_Férée 	<nationality >		France 
Hang_Jebat 	gender 	Male	Malacca 	<gender >		Male
Catherine_Van_Rensselaer 	birthDate 	1734-11-10	Albany_u002C__New_York 	<age>	289	289
Catherine_Van_Rensselaer 	gender 	Female	Albany_u002C__New_York 	<gender >		Female
Catherine_Van_Rensselaer 	nationality 	United_States 	Albany_u002C__New_York 	<nationality >		United_States 
George_Appo 	birthDate 	1856-07-04	New_Haven_u002C__Connecticut 	<age>	167	167
George_Appo 	gender 	Male	New_Haven_u002C__Connecticut 	<gender >		Male
George_Appo 	knowsLanguage 	English_language	New_Haven_u002C__Connecticut 	<knowsLanguage >		English_lang
George_Warrington 	alumniOf 	Ridgefield_Park_High_School 	Bayonne_u002C__New_Jersey 	<alumniOf >		Ridgefield_Park_High_School 
George_Warrington 	birthDate 	1952-09-19	Bayonne_u002C__New_Jersey 	<age>	71	71
George_Warrington 	gender 	Male	Bayonne_u002C__New_Jersey 	<gender >		Male
George_Warrington 	nationality 	United_States 	Bayonne_u002C__New_Jersey 	<nationality >		United_States 
George_Warrington 	worksFor 	New_Jersey_Department_of_Transportation 	Bayonne_u002C__New_Jersey 	<worksFor >		New_Jersey_Department_of_Transportation 
George_Warrington 	worksFor 	Amtrak 	Bayonne_u002C__New_Jersey 	<worksFor >		Amtrak 
George_Warrington 	worksFor 	Delaware_River_Port_Authority 	Bayonne_u002C__New_Jersey 	<worksFor >		Delaware_River_Port_Authority 
George_Warrington 	worksFor 	NJ_Transit 	Bayonne_u002C__New_Jersey 	<worksFor >		NJ_Transit 
Gerard_of_Clairvaux__u0028_died_1177_u0029_ 	birthDate 	1120-01-01	Italy 	<age>	904	904
Gerard_of_Clairvaux__u0028_died_1177_u0029_ 	gender 	Male	Italy 	<gender >		Male
Getulius 	birthDate 	0100-01-01	Gabii 	<age>	1924	1924
Getulius 	gender 	Male	Gabii 	<gender >		Male
Gisela_Legath 	award 	Righteous_Among_the_Nations 	Eberau 	<award >		Righteous_Among_the_Nations 
Gisela_Legath 	birthDate 	1908-01-01	Eberau 	<age>	116	116
Gisela_Legath 	gender 	Female	Eberau 	<gender >		Female
Gisela_Legath 	nationality 	Austria 	Eberau 	<nationality >		Austria 
Marion_Barton_Skaggs 	birthDate 	1888-04-05	Missouri 	<age>	136	136
Marion_Barton_Skaggs 	gender 	Male	Missouri 	<gender >		Male
Marion_Barton_Skaggs 	nationality 	United_States 	Missouri 	<nationality >		United_States 
Peter_A_u002E__Sarpy 	birthDate 	1804-01-01	New_Orleans 	<age>	220	220
Peter_A_u002E__Sarpy 	gender 	Male	New_Orleans 	<gender >		Male
Peter_A_u002E__Sarpy 	nationality 	United_States 	New_Orleans 	<nationality >		United_States 
Symphorosa 	birthDate 	0100-01-01	Tivoli_u002C__Lazio 	<age>	1924	1924
Symphorosa 	gender 	Female	Tivoli_u002C__Lazio 	<gender >		Female
Amytis_of_Babylon 	birthDate 	-0629-01-01	Media__u0028_region_u0029_ 	<age>	2652	2652
Amytis_of_Babylon 	gender 	Female	Media__u0028_region_u0029_ 	<gender >		Female
Aquilina 	birthDate 	0281-01-01	Byblos 	<age>	1743	1743
Aquilina 	gender 	Female	Byblos 	<gender >		Female
Charles_Rinaldo_Floyd 	birthDate 	1797-01-01	Darien_u002C__Georgia 	<age>	227	227
Alvilde_Lees-Milne 	birthDate 	1909-08-13	London 	<age>	114	114
Countess_Amalie_Henriette_of_Solms-Baruth 	birthDate 	1768-01-30	Kliczków 	<age>	256	256
Countess_Amalie_Henriette_of_Solms-Baruth 	gender 	Female	Kliczków 	<gender >		Female
Countess_Amalie_Henriette_of_Solms-Baruth 	knowsLanguage 	German_language	Kliczków 	<knowsLanguage >		German_lang
Countess_Amalie_Henriette_of_Solms-Baruth 	nationality 	Germany 	Kliczków 	<nationality >		Germany 
James_II_u002C__Count_of_Urgell 	birthDate 	1380-01-01	Balaguer 	<age>	644	644
James_II_u002C__Count_of_Urgell 	gender 	Male	Balaguer 	<gender >		Male
Princess_Agnes_of_Hohenlohe-Langenburg 	birthDate 	1804-12-05	Langenburg 	<age>	219	219
Princess_Agnes_of_Hohenlohe-Langenburg 	gender 	Female	Langenburg 	<gender >		Female
Princess_Agnes_of_Hohenlohe-Langenburg 	knowsLanguage 	German_language	Langenburg 	<knowsLanguage >		German_lang
Princess_Agnes_of_Hohenlohe-Langenburg 	nationality 	Germany 	Langenburg 	<nationality >		Germany 
Princess_Alix_of_Luxembourg 	birthDate 	1929-08-24	Berg_Castle 	<age>	94	94
Princess_Alix_of_Luxembourg 	gender 	Female	Berg_Castle 	<gender >		Female
Princess_Alix_of_Luxembourg 	nationality 	Luxembourg 	Berg_Castle 	<nationality >		Luxembourg 
Tibor_P_u002E__Nagy 	alumniOf 	Texas_Tech_University 	Budapest 	<alumniOf >		Texas_Tech_University 
Tibor_P_u002E__Nagy 	alumniOf 	George_Washington_University 	Budapest 	<alumniOf >		George_Washington_University 
Tibor_P_u002E__Nagy 	birthDate 	1949-04-29	Budapest 	<age>	74	74
Tibor_P_u002E__Nagy 	gender 	Male	Budapest 	<gender >		Male
Tibor_P_u002E__Nagy 	nationality 	United_States 	Budapest 	<nationality >		United_States 
Tibor_P_u002E__Nagy 	nationality 	Hungary 	Budapest 	<nationality >		Hungary 
Tibor_P_u002E__Nagy 	worksFor 	Texas_Tech_University 	Budapest 	<worksFor >		Texas_Tech_University 
Li_Baodong 	alumniOf 	Johns_Hopkins_University 	Beijing 	<alumniOf >		Johns_Hopkins_University 
Li_Baodong 	alumniOf 	Beijing_Foreign_Studies_University 	Beijing 	<alumniOf >		Beijing_Foreign_Studies_University 
Li_Baodong 	birthDate 	1955-04-01	Beijing 	<age>	69	69
Li_Baodong 	gender 	Male	Beijing 	<gender >		Male
Li_Baodong 	memberOf 	Chinese_Communist_Party 	Beijing 	<memberOf >		Chinese_Communist_Party 
Li_Baodong 	nationality 	China 	Beijing 	<nationality >		China 
Saw_Omma_of_Pinya 	birthDate 	1333-01-01	Thayet 	<age>	691	691
Saw_Omma_of_Pinya 	gender 	Female	Thayet 	<gender >		Female
Józef_Lubomirski 	birthDate 	1673-01-01	Chernihiv 	<age>	351	351
Józef_Lubomirski 	gender 	Male	Chernihiv 	<gender >		Male
Lotfi_Raissi 	birthDate 	1974-04-04	Bab_El_Oued 	<age>	50	50
Lotfi_Raissi 	gender 	Male	Bab_El_Oued 	<gender >		Male
Lotfi_Raissi 	knowsLanguage 	French_language	Bab_El_Oued 	<knowsLanguage >		French_lang
Lotfi_Raissi 	nationality 	Algeria 	Bab_El_Oued 	<nationality >		Algeria 
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	award 	Knight_Of_The_Order_Of_The_Golden_Fleece_Q15117228	Pernes-les-Fontaines 	<award >		Knight_Of_The_Order_Of_The_Golden_Fleece_Q15117228
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	award 	Knight_Of_The_Order_Of_Saint-Michel_Q11609173	Pernes-les-Fontaines 	<award >		Knight_Of_The_Order_Of_Saint-Michel_Q11609173
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	award 	Knight_Of_The_Order_Of_The_Holy_Spirit_Q11599352	Pernes-les-Fontaines 	<award >		Knight_Of_The_Order_Of_The_Holy_Spirit_Q11599352
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	award 	Marshal_of_France 	Pernes-les-Fontaines 	<award >		Marshal_of_France 
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	birthDate 	1672-01-19	Pernes-les-Fontaines 	<age>	352	352
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	gender 	Male	Pernes-les-Fontaines 	<gender >		Male
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	knowsLanguage 	French_language	Pernes-les-Fontaines 	<knowsLanguage >		French_lang
Louis_u002C__Marquis_of_Brancas_and_Prince_of_Nisaro 	nationality 	France 	Pernes-les-Fontaines 	<nationality >		France 
Madeleine_de_Verchères 	birthDate 	1678-03-03	Verchères 	<age>	346	346
Madeleine_de_Verchères 	gender 	Female	Verchères 	<gender >		Female
Madeleine_de_Verchères 	knowsLanguage 	French_language	Verchères 	<knowsLanguage >		French_lang
Madeleine_de_Verchères 	nationality 	Canada 	Verchères 	<nationality >		Canada 
Najabat_Ali_Khan 	birthDate 	1749-01-01	Murshidabad 	<age>	275	275
Najabat_Ali_Khan 	gender 	Male	Murshidabad 	<gender >		Male
Najmuddin_Ali_Khan 	birthDate 	1750-01-01	Mughal_Empire 	<age>	274	274
Najmuddin_Ali_Khan 	gender 	Male	Mughal_Empire 	<gender >		Male
Francisca_Benicia_Carrillo_de_Vallejo 	birthDate 	1815-08-23	San_Diego 	<age>	208	208
Francisca_Benicia_Carrillo_de_Vallejo 	gender 	Female	San_Diego 	<gender >		Female
Francisca_Benicia_Carrillo_de_Vallejo 	knowsLanguage 	Spanish_language	San_Diego 	<knowsLanguage >		Spanish_lang
Francisca_Benicia_Carrillo_de_Vallejo 	nationality 	Spain 	San_Diego 	<nationality >		Spain 
Francisca_Benicia_Carrillo_de_Vallejo 	nationality 	United_States 	San_Diego 	<nationality >		United_States 
Marcus_Mettius_Rufus 	gender 	Male	Arles 	<gender >		Male
María_López_de_Rivas_Martínez 	birthDate 	1560-08-18	Tartanedo 	<age>	463	463
María_López_de_Rivas_Martínez 	gender 	Female	Tartanedo 	<gender >		Female
María_López_de_Rivas_Martínez 	knowsLanguage 	Spanish_language	Tartanedo 	<knowsLanguage >		Spanish_lang
María_López_de_Rivas_Martínez 	nationality 	Spain 	Tartanedo 	<nationality >		Spain 
Marianne_Wolfe 	nationality 	United_States 	Pittsburgh 	<nationality >		United_States 
Guaifer_of_Benevento 	birthDate 	0850-01-01	Benevento 	<age>	1174	1174
Guaifer_of_Benevento 	gender 	Male	Benevento 	<gender >		Male
John_Mosely_Turner 	birthDate 	1856-06-15	Mitcham 	<age>	167	167
John_Mosely_Turner 	gender 	Male	Mitcham 	<gender >		Male
John_Mosely_Turner 	knowsLanguage 	English_language	Mitcham 	<knowsLanguage >		English_lang
Piccarda_Bueri 	birthDate 	1368-01-01	Verona 	<age>	656	656
Piccarda_Bueri 	gender 	Female	Verona 	<gender >		Female
Werner_Ferrari 	birthDate 	1946-12-29	Switzerland 	<age>	77	77
Werner_Ferrari 	gender 	Male	Switzerland 	<gender >		Male
Werner_Ferrari 	nationality 	Switzerland 	Switzerland 	<nationality >		Switzerland 
William_Henry_Boulton 	birthDate 	1812-04-19	Upper_Canada 	<age>	211	211
William_Henry_Boulton 	gender 	Male	Upper_Canada 	<gender >		Male
William_Henry_Boulton 	nationality 	Canada 	Upper_Canada 	<nationality >		Canada 
William_Tapley_Bennett_Jr_u002E_ 	alumniOf 	George_Washington_University 	Griffin_u002C__Georgia 	<alumniOf >		George_Washington_University 
William_Tapley_Bennett_Jr_u002E_ 	birthDate 	1917-04-01	Griffin_u002C__Georgia 	<age>	107	107
William_Tapley_Bennett_Jr_u002E_ 	gender 	Male	Griffin_u002C__Georgia 	<gender >		Male
William_Tapley_Bennett_Jr_u002E_ 	nationality 	United_States 	Griffin_u002C__Georgia 	<nationality >		United_States 
William_Tapley_Bennett_Jr_u002E_ 	worksFor 	University_of_Georgia 	Griffin_u002C__Georgia 	<worksFor >		University_of_Georgia 
Hedwig_of_Legnica 	birthDate 	1351-01-01	Legnica 	<age>	673	673
Hedwig_of_Legnica 	gender 	Female	Legnica 	<gender >		Female
Jovan_Radonjić 	birthDate 	1748-01-01	Montenegro 	<age>	276	276
Jovan_Radonjić 	gender 	Male	Montenegro 	<gender >		Male
Mikhail_Nikolayevich_Muravyov 	award 	Order_of_the_Crown__u0028_Prussia_u0029_ 	Saint_Petersburg 	<award >		Order_of_the_Crown__u0028_Prussia_u0029_ 
Mikhail_Nikolayevich_Muravyov 	award 	Order_Of_St_U002E__Vladimir_U002C__2Nd_Class_Q21148942	Saint_Petersburg 	<award >		Order_Of_St_U002E__Vladimir_U002C__2Nd_Class_Q21148942
Mikhail_Nikolayevich_Muravyov 	award 	Order_Of_St_U002E__Vladimir_U002C__3Rd_Class_Q19344818	Saint_Petersburg 	<award >		Order_Of_St_U002E__Vladimir_U002C__3Rd_Class_Q19344818
Mikhail_Nikolayevich_Muravyov 	award 	Order_of_the_White_Eagle__u0028_Russian_Empire_u0029_ 	Saint_Petersburg 	<award >		Order_of_the_White_Eagle__u0028_Russian_Empire_u0029_ 
Mikhail_Nikolayevich_Muravyov 	award 	Order_of_the_White_Elephant 	Saint_Petersburg 	<award >		Order_of_the_White_Elephant 
Mikhail_Nikolayevich_Muravyov 	award 	House_Order_of_the_Wendish_Crown 	Saint_Petersburg 	<award >		House_Order_of_the_Wendish_Crown 
Mikhail_Nikolayevich_Muravyov 	birthDate 	1845-04-19	Saint_Petersburg 	<age>	178	178
Mikhail_Nikolayevich_Muravyov 	gender 	Male	Saint_Petersburg 	<gender >		Male
Siti_Oetari 	birthDate 	1905-01-01	Ponorogo_Regency 	<age>	119	119
Siti_Oetari 	gender 	Female	Ponorogo_Regency 	<gender >		Female
Siti_Oetari 	knowsLanguage 	Indonesian_language	Ponorogo_Regency 	<knowsLanguage >		Indonesian_lang
Siti_Oetari 	nationality 	Indonesia 	Ponorogo_Regency 	<nationality >		Indonesia 
Yang_Jia 	birthDate 	1980-08-27	Beijing 	<age>	43	43
Yang_Jia 	gender 	Male	Beijing 	<gender >		Male
Yang_Jia 	nationality 	China 	Beijing 	<nationality >		China 
Yuval_Diskin 	gender 	Male	Givatayim 	<gender >		Male
Hocine_Zehouane 	birthDate 	1935-01-01	Bordj_Menaïel 	<age>	89	89
Hocine_Zehouane 	gender 	Male	Bordj_Menaïel 	<gender >		Male
Hocine_Zehouane 	memberOf 	Movement_for_the_Triumph_of_Democratic_Liberties 	Bordj_Menaïel 	<memberOf >		Movement_for_the_Triumph_of_Democratic_Liberties 
Honorina 	birthDate 	0201-01-01	Normandy__u0028_administrative_region_u0029_ 	<age>	1823	1823
Honorina 	gender 	Female	Normandy__u0028_administrative_region_u0029_ 	<gender >		Female
Horatio_Nelson_Lay 	birthDate 	1832-01-23	Forest_Hill_u002C__London 	<age>	192	192
Horatio_Nelson_Lay 	gender 	Male	Forest_Hill_u002C__London 	<gender >		Male
Irina_Yusupova 	birthDate 	1915-03-21	Moika_Palace 	<age>	109	109
Irina_Yusupova 	gender 	Female	Moika_Palace 	<gender >		Female
Jan_Karol_Opaliński 	birthDate 	1642-01-10	Polish_u2013_Lithuanian_Commonwealth 	<age>	382	382
Jan_Karol_Opaliński 	gender 	Male	Polish_u2013_Lithuanian_Commonwealth 	<gender >		Male
Jules_u002C__Prince_of_Guéméné 	birthDate 	1726-03-25	Paris 	<age>	298	298
Jules_u002C__Prince_of_Guéméné 	gender 	Male	Paris 	<gender >		Male
Jules_u002C__Prince_of_Guéméné 	knowsLanguage 	French_language	Paris 	<knowsLanguage >		French_lang
Jules_u002C__Prince_of_Guéméné 	nationality 	France 	Paris 	<nationality >		France 
Louise_de_Rohan 	birthDate 	1704-08-11	Paris 	<age>	319	319
Louise_de_Rohan 	gender 	Female	Paris 	<gender >		Female
Louise_de_Rohan 	knowsLanguage 	French_language	Paris 	<knowsLanguage >		French_lang
Louise_de_Rohan 	nationality 	France 	Paris 	<nationality >		France 
Pedro_Madruga 	birthDate 	1430-01-01	Pontevedra 	<age>	594	594
Pedro_Madruga 	gender 	Male	Pontevedra 	<gender >		Male
Zofia_Czarnkowska_Opalińska 	birthDate 	1660-03-12	Poznań 	<age>	364	364
Zofia_Czarnkowska_Opalińska 	gender 	Female	Poznań 	<gender >		Female
Gülfem_Hatun 	birthDate 	1500-01-01	Ottoman_Empire 	<age>	524	524
Gülfem_Hatun 	gender 	Female	Ottoman_Empire 	<gender >		Female
Jean_Donovan 	alumniOf 	Case_Western_Reserve_University 	Westport_u002C__Connecticut 	<alumniOf >		Case_Western_Reserve_University 
Jean_Donovan 	alumniOf 	University_of_Mary_Washington 	Westport_u002C__Connecticut 	<alumniOf >		University_of_Mary_Washington 
Jean_Donovan 	birthDate 	1953-04-10	Westport_u002C__Connecticut 	<age>	71	71
Jean_Donovan 	gender 	Female	Westport_u002C__Connecticut 	<gender >		Female
Jean_Donovan 	knowsLanguage 	Spanish_language	Westport_u002C__Connecticut 	<knowsLanguage >		Spanish_lang
Jean_Donovan 	nationality 	United_States 	Westport_u002C__Connecticut 	<nationality >		United_States 
Jean_du_Thiers 	gender 	Male	Sens 	<gender >		Male
Jean_du_Thiers 	nationality 	France 	Sens 	<nationality >		France 
Yuval_Diskin 	alumniOf 	University_of_Haifa 	Givatayim 	<alumniOf >		University_of_Haifa 
Yuval_Diskin 	alumniOf 	Bar-Ilan_University 	Givatayim 	<alumniOf >		Bar-Ilan_University 
Yuval_Diskin 	birthDate 	1956-06-11	Givatayim 	<age>	67	67
Yuval_Diskin 	knowsLanguage 	Hebrew_language	Givatayim 	<knowsLanguage >		Hebrew_lang
Guy_Goma_BBC_interview 	birthDate 	1969-01-01	Republic_of_the_Congo 	<age>	55	55
Guy_Goma_BBC_interview 	gender 	Male	Republic_of_the_Congo 	<gender >		Male
Guy_Goma_BBC_interview 	nationality 	Republic_of_the_Congo 	Republic_of_the_Congo 	<nationality >		Republic_of_the_Congo 
Kerwin_Duinmeijer 	birthDate 	1968-06-05	Willemstad 	<age>	55	55
Kerwin_Duinmeijer 	gender 	Male	Willemstad 	<gender >		Male
