subject	predicate	object	isCitizenOf
<Steven_Zaillian>	<hasWonPrize>	Academy_Award_for_Best_Adapted_Screenplay	Italy
<Davide_Dionigi>	<playsFor>	Spezia_Calcio	Belgium
<Scott_McGarvey>	<playsFor>	Manchester_United_F.C.	Belgium
<Salt_(2010_film)>	<isLocatedIn>	United_States	Brazil
<Mark_Nicholls>	<playsFor>	Partick_Thistle_F.C.	Japan
<East_Asia>	<isLocatedIn>	Guangzhou	Iran
<Tajikistan>	<dealsWith>	Switzerland	Brazil
<Larry_Fine>	<diedIn>	Los_Angeles	England
<Sam_Togwell>	<isAffiliatedTo>	Barnet_F.C.	Germany
<Mark_Rawle>	<playsFor>	Kidderminster_Harriers_F.C.	United_Arab_Emirates
<Van_Nuys>	<isLocatedIn>	California	China
<Peter_Beadle>	<playsFor>	Port_Vale_F.C.	Germany
<Winnipeg>	<isLocatedIn>	Canada	Nigeria
<Michael_Laudrup>	<playsFor>	S.S._Lazio	Greece
<Jeffrey_Bruma>	<playsFor>	Chelsea_F.C.	Croatia
<Modibo_Diakité>	<isAffiliatedTo>	Frosinone_Calcio	Republic_of_Ireland
<Andy_Gray_(footballer,_born_1964)>	<isAffiliatedTo>	England_national_football_team	Belgium
<James_Newton_Howard>	<wroteMusicFor>	The_Bourne_Legacy_(film)	Monaco
<Gary_Barnett_(footballer)>	<playsFor>	Oxford_United_F.C.	Croatia
<Willem_Dafoe>	<actedIn>	Spider-Man_(2002_film)	Cyprus
<Charles_Brackett>	<created>	Sunset_Boulevard_(film)	Barbados
<Stuart_Elliott_(footballer,_born_1977)>	<playsFor>	Northwich_Victoria_F.C.	Nigeria
<Alan_Daley>	<isAffiliatedTo>	Cambridge_United_F.C.	Switzerland
<John_Rowlands_(footballer)>	<isAffiliatedTo>	Crewe_Alexandra_F.C.	Australia
<I_Love_You_Phillip_Morris>	<isLocatedIn>	United_States	Slovenia
<Martin_Thomas_(footballer,_born_1959)>	<isAffiliatedTo>	Aston_Villa_F.C.	France
<Martin_Thomas_(footballer,_born_1959)>	<playsFor>	Southend_United_F.C.	France
<Darren_Byfield>	<isAffiliatedTo>	Bristol_City_F.C.	Democratic_Republic_of_the_Congo
<Fraizer_Campbell>	<isAffiliatedTo>	Hull_City_A.F.C.	France
<Saddam_Hussein>	<isPoliticianOf>	Iraq	France
<Paul_Ritchie_(footballer,_born_1975)>	<playsFor>	Bolton_Wanderers_F.C.	Senegal
<Andy_Dow>	<wasBornIn>	Dundee	Ukraine
<CBS_Corporation>	<isLocatedIn>	United_States	Bulgaria
<Robert_Louis_Stevenson>	<influences>	Arthur_Conan_Doyle	Democratic_Republic_of_the_Congo
<Carl_Alford>	<playsFor>	Stockport_County_F.C.	Denmark
<Paolo_Sammarco>	<isAffiliatedTo>	A.C._ChievoVerona	Australia
<Somalia>	<dealsWith>	United_Arab_Emirates	Japan
<Serbia>	<dealsWith>	Italy	Senegal
<Monroe,_Louisiana>	<isLocatedIn>	Louisiana	Martinique
<Edward_Shearmur>	<wasBornIn>	London	Mali
<Anaheim,_California>	<isLocatedIn>	California	Hungary
<Ryan_Lowe>	<playsFor>	Crewe_Alexandra_F.C.	Martinique
<Jon_Parkin>	<playsFor>	Cardiff_City_F.C.	England
<India>	<hasCurrency>	Indian_rupee	Poland
<India>	<participatedIn>	Operation_Enduring_Freedom_–_Horn_of_Africa	Poland
<Elizabeth_McGovern>	<wasBornIn>	Evanston,_Illinois	Sweden
<The_Haunting_(1999_film)>	<isLocatedIn>	United_States	Serbia
<Simon_Colosimo>	<playsFor>	Manchester_City_F.C.	Chile
<Greece>	<participatedIn>	Nicaraguan_Revolution	Northern_Ireland
<Gerry_Peyton>	<playsFor>	Brentford_F.C.	Hungary
<Carol_Burnett>	<hasWonPrize>	Primetime_Emmy_Award	United_States
<Late_Show_(CBS_TV_series)>	<isLocatedIn>	United_States	Cameroon
<Shatrughan_Sinha>	<wasBornIn>	Patna	Slovenia
<1932_Summer_Olympics>	<isLocatedIn>	Los_Angeles	France
<Armand_Assante>	<actedIn>	American_Gangster_(film)	El_Salvador
<21st_Academy_Awards>	<isLocatedIn>	United_States	Puerto_Rico
<Jamaica>	<dealsWith>	Canada	Northern_Ireland
<Another_Year_(film)>	<isLocatedIn>	United_Kingdom	Wales
<Bob_Curry>	<isAffiliatedTo>	Colchester_United_F.C.	Canada
<Dany_N'Guessan>	<playsFor>	Lincoln_City_F.C.	Dominica
<Will_Buckley_(footballer)>	<isAffiliatedTo>	Leeds_United_F.C.	Austria
<Linda_Cardellini>	<actedIn>	Super_(2010_American_film)	Germany
<Scott_Spencer_(footballer)>	<playsFor>	Lincoln_City_F.C.	Italy
<Kumasi>	<isLocatedIn>	Ghana	Italy
<Uche_Ikpeazu>	<isAffiliatedTo>	Reading_F.C.	Senegal
<Kieran_McAnespie>	<playsFor>	A.F.C._Bournemouth	Senegal
<Kasey_Keller>	<wasBornIn>	Olympia,_Washington	Brazil
<Matt_McNeil>	<playsFor>	Cambridge_United_F.C.	Bahrain
<Daniel_Kearns_(footballer)>	<isAffiliatedTo>	West_Ham_United_F.C.	Mali
<Reece_Styche>	<playsFor>	Macclesfield_Town_F.C.	United_States
<Chicago_metropolitan_area>	<isLocatedIn>	Evanston,_Illinois	Scotland
<Scott_McDonald>	<isAffiliatedTo>	A.F.C._Bournemouth	Australia
<Warren_Aspinall>	<isAffiliatedTo>	Swansea_City_A.F.C.	Greece
<Brad_Friedel>	<isAffiliatedTo>	United_States_men's_national_soccer_team	Tanzania
<Ryan_Brunt_(footballer)>	<isAffiliatedTo>	Tranmere_Rovers_F.C.	Barbados
<Basil_Poledouris>	<wroteMusicFor>	RoboCop	Mali
<Charlie_Miller>	<isAffiliatedTo>	SK_Brann	Scotland
<Aly_Cissokho>	<isAffiliatedTo>	France_national_football_team	Northern_Ireland
<Paul_Evans_(footballer,_born_1974)>	<isAffiliatedTo>	Swindon_Town_F.C.	Croatia
<Jordan_Parkes>	<isAffiliatedTo>	Chelmsford_City_F.C.	Iran
<11Eleven_Project>	<isLocatedIn>	United_States	Wales
<Steve_Zahn>	<hasWonPrize>	Independent_Spirit_Awards	Austria
<Jimi_Hendrix>	<diedIn>	Kensington	El_Salvador
<Salma_Hayek>	<actedIn>	Puss_in_Boots_(2011_film)	Mali
<Danny_Maddix>	<isAffiliatedTo>	Grays_Athletic_F.C.	El_Salvador
<Frederick_Mearns>	<isAffiliatedTo>	Grays_Athletic_F.C.	Israel
<Carthage>	<isLocatedIn>	Tunisia	Germany
<Chris_Eagles>	<isAffiliatedTo>	Watford_F.C.	Niger
<James_Wallace_(footballer,_born_1991)>	<wasBornIn>	Liverpool	India
<Ray_Crawford_(footballer)>	<playsFor>	Colchester_United_F.C.	Barbados
<Ronnie_Wallwork>	<isAffiliatedTo>	Manchester_United_F.C.	Nigeria
<Rocky_Mountains>	<isLocatedIn>	Wyoming	Denmark
<Adrian_Littlejohn>	<isAffiliatedTo>	Walsall_F.C.	Austria
<Simeon_Hodson>	<isAffiliatedTo>	Lincoln_City_F.C.	Cameroon
<Simeon_Hodson>	<playsFor>	Altrincham_F.C.	Cameroon
<Al_Green>	<livesIn>	Memphis,_Tennessee	Brazil
<Brian_Parkin>	<playsFor>	Oldham_Athletic_A.F.C.	Hungary
<Van_Johnson>	<actedIn>	The_Caine_Mutiny_(film)	England
<Des_Lyttle>	<isAffiliatedTo>	West_Bromwich_Albion_F.C.	Bulgaria
<Jack_Reynolds_(footballer,_born_1869)>	<playsFor>	Aston_Villa_F.C.	Senegal
<Jack_Reynolds_(footballer,_born_1869)>	<isAffiliatedTo>	Aston_Villa_F.C.	Senegal
<2009_Sundance_Film_Festival>	<isLocatedIn>	Ogden,_Utah	Poland
<Wayne_Cegielski>	<isAffiliatedTo>	Port_Vale_F.C.	Ukraine
<Kevin_Smith>	<created>	Jersey_Girl_(2004_film)	El_Salvador
<Iraq>	<dealsWith>	Greece	Monaco
<Patrick_McGoohan>	<actedIn>	The_Phantom_(1996_film)	Mali
<Noah_Taylor>	<wasBornIn>	London	Belgium
<Ishmael_Miller>	<playsFor>	Blackpool_F.C.	Austria
<Ryan_Hall_(footballer)>	<playsFor>	Sheffield_United_F.C.	Denmark
<Keith_Bertschin>	<isAffiliatedTo>	Birmingham_City_F.C.	England
<Himesh_Reshammiya>	<wasBornIn>	Mumbai	Martinique
<Ismaïl_Aissati>	<isAffiliatedTo>	SBV_Vitesse	Northern_Ireland
<John_Williams_(footballer,_born_1968)>	<playsFor>	Stoke_City_F.C.	Republic_of_Ireland
<Zoran_Rajović>	<isAffiliatedTo>	FK_Vojvodina	Israel
<Terry_Phelan>	<wasBornIn>	Manchester	Bahrain
<Billy_Knott>	<isAffiliatedTo>	Port_Vale_F.C.	Italy
<Bas_Savage>	<isAffiliatedTo>	Gillingham_F.C.	El_Salvador
<Gavin_Ward_(footballer)>	<playsFor>	Hednesford_Town_F.C.	Israel
<2017_Romanian_protests>	<happenedIn>	Glasgow	Israel
<Georg_Wilhelm_Friedrich_Hegel>	<influences>	Fredric_Jameson	Chile
<David_Giles_(footballer)>	<playsFor>	Wrexham_A.F.C.	United_Kingdom
<Mark_Schwarzer>	<playsFor>	Bradford_City_A.F.C.	United_Kingdom
<Matt_Stone>	<hasWonPrize>	Laurence_Olivier_Award	Cyprus
<Richard_Burton>	<actedIn>	Anne_of_the_Thousand_Days	Ukraine
<Anne_Bancroft>	<isMarriedTo>	Mel_Brooks	Cameroon
<Keith_Treacy>	<playsFor>	Sheffield_Wednesday_F.C.	Kazakhstan
<Billy_Zane>	<actedIn>	The_Believer_(film)	Croatia
<Fred_Bevan>	<playsFor>	Bury_F.C.	Ukraine
<Scouting_in_California>	<isLocatedIn>	Sacramento,_California	Norway
<Craig_Allardyce>	<isAffiliatedTo>	Blackpool_F.C.	Russia
<Neville_Roach>	<playsFor>	Farnborough_F.C.	Israel
<Drewe_Broughton>	<playsFor>	Brentford_F.C.	Belgium
<Drewe_Broughton>	<isAffiliatedTo>	Norwich_City_F.C.	Belgium
<Billy_Crudup>	<graduatedFrom>	University_of_North_Carolina_at_Chapel_Hill	Niger
<Amartya_Sen>	<livesIn>	New_York	Bangladesh
<Jonathan_Walters>	<playsFor>	Chester_City_F.C.	Senegal
<Tom_Skerritt>	<actedIn>	MASH_(film)	Spain
<René_Descartes>	<graduatedFrom>	Leiden_University	Hungary
<Alex_Mathie>	<playsFor>	Celtic_F.C.	Germany
<Alex_Mathie>	<isAffiliatedTo>	Newcastle_United_F.C.	Germany
<Jordan_Rose>	<playsFor>	A.F.C._Telford_United	Argentina
<Jon_Dahl_Tomasson>	<isAffiliatedTo>	Roda_JC_Kerkrade	Barbados
<Terry_Howard>	<playsFor>	Wycombe_Wanderers_F.C.	Ukraine
<Bill_Wyman>	<wasBornIn>	Lewisham	Sweden
<Carlton_Cuse>	<wasBornIn>	Mexico_City	Sweden
<Sam_Russell_(footballer,_born_1982)>	<isAffiliatedTo>	Darlington_F.C.	Denmark
<Kingdom_of_Romania>	<participatedIn>	Operation_Barbarossa	Spain
<Ottoman_Empire>	<participatedIn>	Napoleonic_Wars	Netherlands
<Ottoman_Empire>	<hasOfficialLanguage>	Turkish_language	Netherlands
<Ashley_Bayes>	<isAffiliatedTo>	AFC_Wimbledon	Republic_of_the_Congo
<John_Eustace>	<isAffiliatedTo>	Coventry_City_F.C.	Wales
<Oscar_Gobern>	<playsFor>	Chesterfield_F.C.	Argentina
<Kevin_Austin>	<isAffiliatedTo>	Leyton_Orient_F.C.	Australia
<Lloyd_Opara>	<playsFor>	Peterborough_United_F.C.	Niger
<Lampros_Choutos>	<playsFor>	Inter_Milan	Democratic_Republic_of_the_Congo
<Dani_Osvaldo>	<playsFor>	Boca_Juniors	Israel
<War_of_the_Spanish_Succession>	<happenedIn>	South_America	Dominica
<Lesser_Antilles>	<isLocatedIn>	Anguilla	Northern_Ireland
<Chris_Coyne>	<playsFor>	Australia_national_soccer_team	Bulgaria
<Andy_Serkis>	<actedIn>	Inkheart_(film)	Bulgaria
<Colm_Feore>	<actedIn>	Pearl_Harbor_(film)	Nigeria
<Kevin_Dearden>	<playsFor>	Brentford_F.C.	Barbados
<Neil_Tarrant>	<playsFor>	Motherwell_F.C.	Monaco
<Rodrigo_(footballer,_born_1991)>	<playsFor>	Bolton_Wanderers_F.C.	Japan
<Raúl_Díaz_Arce>	<playsFor>	San_Jose_Earthquakes	Cyprus
<Dick_Advocaat>	<playsFor>	Sparta_Rotterdam	Sweden
<Russian_Empire>	<participatedIn>	War_of_the_Fourth_Coalition	Germany
<Dave_Metchick>	<playsFor>	Woking_F.C.	Russia
<Colin_Cameron_(footballer)>	<playsFor>	Wolverhampton_Wanderers_F.C.	Croatia
<Philippe_Senderos>	<playsFor>	Rangers_F.C.	Northern_Ireland
<Kazakhstan>	<dealsWith>	Germany	Puerto_Rico
<Andy_Linighan>	<isAffiliatedTo>	Arsenal_F.C.	Bahrain
<Traianos_Dellas>	<isAffiliatedTo>	Atromitos_F.C.	Serbia
<George_Carlin>	<wasBornIn>	New_York_City	Ukraine
<George_Carlin>	<influences>	Whoopi_Goldberg	Ukraine
<Brent_Sancho>	<isAffiliatedTo>	Portland_Timbers	Spain
<Habsburg_Monarchy>	<participatedIn>	War_of_the_Polish_Succession	Bahrain
<Uma_Thurman>	<actedIn>	The_Avengers_(1998_film)	Scotland
<Danube>	<isLocatedIn>	Croatia	Australia
<Elliot_Goldenthal>	<wroteMusicFor>	Frida	Cape_Verde
<Antony_Sher>	<hasWonPrize>	Drama_Desk_Award	Sweden
<Brian_Rice_(footballer)>	<isAffiliatedTo>	Nottingham_Forest_F.C.	Monaco
<Simon_Heslop>	<isAffiliatedTo>	Northwich_Victoria_F.C.	Northern_Ireland
<Mark_Wilson_(English_footballer)>	<isAffiliatedTo>	Walsall_F.C.	United_States
<Mark_Wilson_(English_footballer)>	<playsFor>	Walsall_F.C.	United_States
<James_Chester>	<playsFor>	Aston_Villa_F.C.	Germany
<Shaun_Goater>	<playsFor>	Coventry_City_F.C.	Chile
<Astrit_Ajdarević>	<isAffiliatedTo>	AEK_Athens_F.C.	Jamaica
<Fred_Pagnam>	<playsFor>	Watford_F.C.	Argentina
<James_Fox>	<wasBornIn>	London	Monaco
<Patrick_Agyemang>	<playsFor>	Stevenage_F.C.	France
<Matt_Elliott_(footballer)>	<isAffiliatedTo>	Leicester_City_F.C.	Barbados
<Yale_Divinity_School>	<isLocatedIn>	New_Haven,_Connecticut	Cyprus
<Dennis_Rodman>	<isMarriedTo>	Carmen_Electra	Belgium
<Geoff_Thomas_(footballer,_born_1964)>	<playsFor>	Rochdale_A.F.C.	Cameroon
<Geoff_Thomas_(footballer,_born_1964)>	<isAffiliatedTo>	Crewe_Alexandra_F.C.	Cameroon
<Libya>	<hasNeighbor>	Tunisia	Scotland
<Aruna_Irani>	<wasBornIn>	Mumbai	Croatia
<Province_of_Como>	<isLocatedIn>	Como	Barbados
<Wayne_Biggins>	<isAffiliatedTo>	Stoke_City_F.C.	Mali
<Clint_Hill_(footballer)>	<playsFor>	Queens_Park_Rangers_F.C.	Austria
<Pennine_Alps>	<isLocatedIn>	Piedmont	Germany
<Allan_Holdsworth>	<wasBornIn>	Bradford	Spain
<Epic_Soundtrax>	<isLocatedIn>	Los_Angeles	Hungary
<Amari_Morgan-Smith>	<wasBornIn>	Wolverhampton	Bangladesh
<Esteban_Cambiasso>	<wasBornIn>	Buenos_Aires	Israel
<New_Zealand>	<dealsWith>	Germany	United_States
<Alex_Taylor_(footballer)>	<playsFor>	Partick_Thistle_F.C.	Dominica
<Michael_Danzey>	<playsFor>	Nottingham_Forest_F.C.	Niger
<Les_Ferdinand>	<playsFor>	Tottenham_Hotspur_F.C.	China
<M._Night_Shyamalan>	<directed>	The_Last_Airbender	Serbia
<Rafik_Djebbour>	<isAffiliatedTo>	Panionios_F.C.	Jamaica
<David_O._Russell>	<wasBornIn>	Manhattan	Mali
<Kemar_Roofe>	<isAffiliatedTo>	Leeds_United_F.C.	Mali
<Jonson_Clarke-Harris>	<isAffiliatedTo>	Peterborough_United_F.C.	Senegal
<Alan_Lee_(footballer)>	<isAffiliatedTo>	Rotherham_United_F.C.	Italy
<Steve_Anthrobus>	<isAffiliatedTo>	Hednesford_Town_F.C.	France
<Justin_Chambers>	<wasBornIn>	Springfield,_Ohio	Israel
<Gary_Waddock>	<playsFor>	Bristol_Rovers_F.C.	Senegal
<Brian_Taylor_(footballer,_born_1937)>	<isAffiliatedTo>	Shrewsbury_Town_F.C.	El_Salvador
<Scott_Barrett_(footballer)>	<isAffiliatedTo>	Gillingham_F.C.	United_States
<Nick_Cusack>	<playsFor>	Darlington_F.C.	Bahrain
<Monsef_Zerka>	<playsFor>	Calcio_Catania	Chile
<Terrence_McNally>	<hasWonPrize>	Tony_Award	Sweden
<Jim_Harvey>	<playsFor>	Bristol_City_F.C.	United_Arab_Emirates
<Douglas_Adams>	<wasBornIn>	Cambridge	England
<Lawrence_Kasdan>	<directed>	Wyatt_Earp_(film)	Hungary
<Cássio_Oliveira>	<isAffiliatedTo>	Club_Olimpia	Sweden
<Kinji_Fukasaku>	<diedIn>	Tokyo	Scotland
<Peru>	<dealsWith>	China	Argentina
<Carl_Bradshaw_(footballer)>	<isAffiliatedTo>	Manchester_City_F.C.	Bulgaria
<Electric_Daisy_Carnival>	<isLocatedIn>	Las_Vegas	Mali
<Josh_Walker_(English_footballer)>	<playsFor>	Rotherham_United_F.C.	United_States
<Phil_Marsh>	<playsFor>	Barrow_A.F.C.	Wales
<Tony_Scully>	<isAffiliatedTo>	Manchester_City_F.C.	Poland
<Orange_County,_California>	<isLocatedIn>	California	China
<Malaysia>	<participatedIn>	United_Nations_Operation_in_Somalia_II	Norway
<Darryl_Flahavan>	<isAffiliatedTo>	Crystal_Palace_F.C.	United_States
<Jyothika>	<hasWonPrize>	Filmfare_Awards_South	Spain
<Jonatan_Johansson_(footballer)>	<isAffiliatedTo>	Norwich_City_F.C.	Scotland
<David_Ogden_Stiers>	<actedIn>	The_Hunchback_of_Notre_Dame_(1996_film)	Austria
<Phil_Stant>	<playsFor>	Dover_Athletic_F.C.	Democratic_Republic_of_the_Congo
<Craig_Rocastle>	<playsFor>	Port_Vale_F.C.	Slovenia
<Craig_Rocastle>	<wasBornIn>	Lewisham	Slovenia
<Anthony_Pulis>	<playsFor>	Aldershot_Town_F.C.	United_Kingdom
<David_Brightwell>	<playsFor>	Bradford_City_A.F.C.	Cameroon
<Marc_North>	<playsFor>	Scunthorpe_United_F.C.	Iran
<Marc_North>	<isAffiliatedTo>	Kettering_Town_F.C.	Iran
<Hayden_Foxe>	<playsFor>	Leeds_United_F.C.	Jamaica
<Hayden_Foxe>	<isAffiliatedTo>	West_Ham_United_F.C.	Jamaica
<Frankie_Sutherland>	<isAffiliatedTo>	Woking_F.C.	Cameroon
<Kevin_Gallen>	<playsFor>	Luton_Town_F.C.	Slovenia
<Rosemary_Harris>	<actedIn>	Sunshine_(1999_film)	Russia
<Andy_Petterson>	<playsFor>	Southend_United_F.C.	Brazil
<Sam_Jennings>	<isAffiliatedTo>	West_Ham_United_F.C.	Puerto_Rico
<Sam_Jennings>	<playsFor>	Burnley_F.C.	Puerto_Rico
<Nathan_Fillion>	<actedIn>	Super_(2010_American_film)	Niger
<Simon_Walton>	<playsFor>	Hartlepool_United_F.C.	Iran
<Marco_Baroni>	<isAffiliatedTo>	Udinese_Calcio	Bahrain
<Julia_Roberts>	<isMarriedTo>	Lyle_Lovett	Brazil
<Dominic_Blizzard>	<isAffiliatedTo>	Plymouth_Argyle_F.C.	Monaco
<Christian_Eduardo_Giménez>	<isAffiliatedTo>	Hertha_BSC	Spain
<Hugo_Weaving>	<actedIn>	The_Matrix	United_Kingdom
<Assassins_(film)>	<isLocatedIn>	United_States	Netherlands
<Amelia_(film)>	<isLocatedIn>	Canada	Sweden
<Shohreh_Aghdashloo>	<hasWonPrize>	Independent_Spirit_Awards	Niger
<Alex_Rodman>	<isAffiliatedTo>	Notts_County_F.C.	Iran
<James_O'Connor_(footballer,_born_1984)>	<playsFor>	Walsall_F.C.	El_Salvador
<Olof_Mellberg>	<isAffiliatedTo>	AIK_Fotboll	Monaco
<Jason_Kidd>	<isAffiliatedTo>	Phoenix_Suns	Argentina
<John_Fashanu>	<playsFor>	Aston_Villa_F.C.	Slovenia
<John_Fashanu>	<isAffiliatedTo>	Norwich_City_F.C.	Slovenia
<The_Scorpion_King>	<isLocatedIn>	Germany	Kazakhstan
<Kenny_Burns>	<playsFor>	Derby_County_F.C.	Hungary
<Paul_Allen_(footballer)>	<isAffiliatedTo>	West_Ham_United_F.C.	Cyprus
<Lee_Hodges_(footballer,_born_1978)>	<playsFor>	Ipswich_Town_F.C.	Cape_Verde
<Simeon_Jackson>	<playsFor>	Coventry_City_F.C.	Netherlands
<Dean_Brill>	<playsFor>	Oldham_Athletic_A.F.C.	Belgium
<St._Louis_Blues>	<isLocatedIn>	St._Louis	Denmark
<Dominic_West>	<livesIn>	Hammersmith	Tanzania
<Dominic_West>	<actedIn>	Hannibal_Rising_(film)	Tanzania
<Joseph_S._O'Leary>	<isInterestedIn>	Georg_Wilhelm_Friedrich_Hegel	Cyprus
<Mike_Marsh_(footballer)>	<isAffiliatedTo>	Galatasaray_S.K._(football)	Republic_of_Ireland
<Gary_Kelly_(footballer,_born_1966)>	<playsFor>	Sheffield_United_F.C.	Jamaica
<Will_Ferrell>	<actedIn>	Bewitched_(2005_film)	United_States
<Paul_Fitzpatrick>	<playsFor>	Bolton_Wanderers_F.C.	England
<Steve_Taylor_(footballer)>	<isAffiliatedTo>	Luton_Town_F.C.	Cameroon
<Crispin_Freeman>	<wasBornIn>	Chicago	United_States
<Aron_Winter>	<isAffiliatedTo>	AFC_Ajax	Canada
<Bondz_N'Gala>	<isAffiliatedTo>	Yeovil_Town_F.C.	Norway
<Peter_Ramage>	<playsFor>	Newcastle_United_F.C.	Panama
<Antoine_Sibierski>	<playsFor>	Newcastle_United_F.C.	Bangladesh
<Lee_Morris_(footballer)>	<isAffiliatedTo>	Hereford_United_F.C.	Norway
<Matt_Jackson>	<isAffiliatedTo>	Watford_F.C.	Italy
<Mark_Hamill>	<actedIn>	Star_Wars_Holiday_Special	Wales
<Ronald_Reagan>	<isMarriedTo>	Jane_Wyman	Ukraine
<Anatole_Litvak>	<diedIn>	Neuilly-sur-Seine	Senegal
<Romano_Perticone>	<playsFor>	U.C._Sampdoria	Kazakhstan
<Niels_Bohr>	<wasBornIn>	Copenhagen	Canada
<Paul_Bannon>	<playsFor>	Cardiff_City_F.C.	Cape_Verde
<Brett_Angell>	<isAffiliatedTo>	Walsall_F.C.	China
<John_Moncur>	<isAffiliatedTo>	West_Ham_United_F.C.	Martinique
<United_States>	<participatedIn>	Operation_Serval	Serbia
<Clinton_Morrison>	<isAffiliatedTo>	Colchester_United_F.C.	England
<John_Byrne_(footballer,_born_1939)>	<isAffiliatedTo>	Barnsley_F.C.	Northern_Ireland
<Jon_Beswetherick>	<isAffiliatedTo>	Kidderminster_Harriers_F.C.	Netherlands
<Alex_Cisak>	<isAffiliatedTo>	Leyton_Orient_F.C.	Hungary
<UEFA>	<isLocatedIn>	Europe	Greece
<Jay_Bothroyd>	<playsFor>	Coventry_City_F.C.	Monaco
<Bruce_Greenwood>	<actedIn>	Swept_Away_(2002_film)	Spain
<Graham_Greene_(actor)>	<actedIn>	The_Green_Mile_(film)	Kazakhstan
<Graham_Greene_(actor)>	<hasWonPrize>	Grammy_Award	Kazakhstan
<Sean_Astin>	<actedIn>	Click_(2006_film)	Panama
<David_Davis_(footballer)>	<isAffiliatedTo>	Darlington_F.C.	Iran
<Clint_Eastwood>	<directed>	Hereafter_(film)	Slovenia
<Daniel_Webb_(footballer)>	<playsFor>	Hull_City_A.F.C.	Northern_Ireland
<Louis_Saha>	<wasBornIn>	Paris	Nigeria
<Rod_Steiger>	<actedIn>	In_the_Heat_of_the_Night_(film)	France
<Jonny_Margetts>	<playsFor>	Tranmere_Rovers_F.C.	Austria
<Lee_Ho_(footballer,_born_1984)>	<isAffiliatedTo>	South_Korea_national_football_team	Spain
<Ginger_Rogers>	<wasBornIn>	Independence,_Missouri	Croatia
<Craig_Davies_(footballer)>	<isAffiliatedTo>	Brighton_&_Hove_Albion_F.C.	Bulgaria
<Gregor_Rioch>	<isAffiliatedTo>	Macclesfield_Town_F.C.	Republic_of_the_Congo
<Law_&_Order>	<isLocatedIn>	United_States	Tanzania
<Peter_Stone>	<hasWonPrize>	Emmy_Award	Senegal
<Ventura,_California>	<isLocatedIn>	United_States	El_Salvador
<Wayne_Gray_(footballer)>	<isAffiliatedTo>	Grays_Athletic_F.C.	Argentina
<Pablo_Mills>	<isAffiliatedTo>	Derby_County_F.C.	Tanzania
<Ed_Helms>	<actedIn>	The_Hangover	Greece
<Jack_Warden>	<actedIn>	Bulworth	Slovenia
<Kei_Kamara>	<isAffiliatedTo>	Sierra_Leone_national_football_team	Barbados
<Girl,_Interrupted_(film)>	<isLocatedIn>	United_States	Argentina
<Chris_Killen>	<playsFor>	Wrexham_A.F.C.	Cameroon
<George_Hamilton_(actor)>	<actedIn>	The_Godfather_Part_III	Netherlands
<Lee_Martin_(footballer,_born_1987)>	<playsFor>	Wimbledon_F.C.	Scotland
<Vladimir_Petrović>	<isAffiliatedTo>	Red_Star_Belgrade	Serbia
<Kelly_Preston>	<actedIn>	Jerry_Maguire	Dominica
<Heiner_Backhaus>	<playsFor>	Olympiakos_Nicosia	United_Kingdom
<Christian_Vieri>	<playsFor>	A.C._Milan	Martinique
<Paul_Haggis>	<livesIn>	Santa_Monica,_California	Puerto_Rico
<James_Horner>	<created>	Willow_(film)	Dominica
<Sabri_Lamouchi>	<isAffiliatedTo>	Inter_Milan	Israel
<Harry_Gregson-Williams>	<wroteMusicFor>	Kingdom_of_Heaven_(film)	Serbia
<Emmanuel_Omoyinmi>	<playsFor>	Oxford_United_F.C.	Greece
<Kyle_MacLachlan>	<actedIn>	The_Flintstones_(film)	Serbia
<Ben_Chorley>	<playsFor>	Arsenal_F.C.	Norway
<Arthur_Sharp_(footballer)>	<playsFor>	Reading_F.C.	Mali
<Kris_Taylor>	<playsFor>	Manchester_United_F.C.	Poland
<Gus_Uhlenbeek>	<playsFor>	Mansfield_Town_F.C.	United_Kingdom
<Joey_Barton>	<playsFor>	Olympique_de_Marseille	Switzerland
<Claudio_Ranieri>	<playsFor>	Calcio_Catania	Iran
<Bonnie_Hunt>	<actedIn>	A_Bug's_Life	Switzerland
<Mickaël_Antoine-Curier>	<playsFor>	Oldham_Athletic_A.F.C.	Kazakhstan
<Wayne_Routledge>	<playsFor>	Queens_Park_Rangers_F.C.	Jamaica
<David_Hibbert>	<playsFor>	Preston_North_End_F.C.	El_Salvador
<Artie_Lange>	<wasBornIn>	Livingston,_New_Jersey	Cyprus
<Steve_Torpey_(footballer,_born_1970)>	<isAffiliatedTo>	Scunthorpe_United_F.C.	Barbados
<Tony_Cottee>	<isAffiliatedTo>	England_national_football_team	El_Salvador
<Nathan_Delfouneso>	<playsFor>	Burnley_F.C.	Switzerland
<Edward_Said>	<wasBornIn>	Jerusalem	United_States
<State_of_Mexico>	<isLocatedIn>	Mexico	Panama
<Belgrade>	<isLocatedIn>	Serbia	Cape_Verde
<Graham_Roberts>	<isAffiliatedTo>	West_Bromwich_Albion_F.C.	Switzerland
<Marc_Goodfellow>	<playsFor>	Swansea_City_A.F.C.	Cyprus
<Chris_Pronger>	<isAffiliatedTo>	Edmonton_Oilers	Canada
<Carlos_Ruiz_(Guatemalan_footballer)>	<playsFor>	D.C._United	France
<Jason_van_Blerk>	<isAffiliatedTo>	Millwall_F.C.	Argentina
